identidier,country,description,latitude,longitude,dataset
1,107,La Paz,14.319999,-87.6840026,BOLAPAZ
2,116,Georgetown,13.5510031,-14.7670015,GYGRGTWN
3,54,Melbourne,28.0833104,-80.6083204,AUSYDNEY
4,120,Panama City,30.15861,-85.6552733,PMPANAMA
5,88,London,37.1288823,-84.0833537,UKLONDON
6,88,London,42.9699986,-81.2499866,UKLONDON
7,69,Athens,33.9612978,-83.3780221,GRATHENS
8,72,Dublin,32.5374571,-82.9182827,IEDUBLIN
9,121,Lima,40.7428736,-84.1052645,PRLIMA
10,84,Barcelona,10.1303752,-64.7200137,SPBRCLNA
11,102,Guadalajara,40.6337071,-3.1665874,MXGUADLJ
12,54,Perth,56.3926089503458,-3.4363752200061097,AUPERTH
13,67,Bonn,50.7204557,7.0800223,DLBONN
14,111,San Jose,13.9397296,-90.820032,CSSANJOS
15,107,La Paz,-33.4661369,-67.549996,BOLAPAZ
16,106,Belize City,17.498711,-88.1883745,BHBELIZE
17,105,Hamilton,-37.7311995,142.0234135,BEHMLTON
18,105,Hamilton,43.2499815,-79.8299958,BEHMLTON
19,116,Georgetown,-18.3000342,143.5332955,GYGRGTWN
20,111,San Jose,-17.8500358,-60.7799958,CSSANJOS
21,101,Vancouver,45.6303013,-122.6399925,CNVANCVR
22,88,Belfast,54.594245156841886,-5.928177644913072,UKBELFST
23,20,Niamey,13.4916429,7.0964038,NRNIAMEY
24,84,Bilbao,43.2499815,-2.9299868,SPBILBAO
25,83,Bratislava,48.1500183,17.1169808,CZBRTSLV
26,96,Doha,25.286556,51.5329679,QTDOHA
27,107,La Paz,24.1399593,-110.3199952,BOLAPAZ
28,86,Bern,46.9166828,7.4669755,SWBERN
29,82,Pristina,42.6667096,21.1659843,YGPRISTN
30,9,Banjul,13.4538765,-16.5917015,GBBANJUL
31,66,Bordeaux,44.8519589,-0.5969589,FRBRDAUX
32,75,Skopje,42.0000061,21.4334615,YGSKOPJE
33,54,Sydney,46.0661145,-60.1799807,AUMELBRN
34,108,Bridgetown,13.1020026,-59.6165267,BRBRGTWN
35,2,Bujumbura,-3.3760872,29.3600061,BIBJMBRA
36,90,Manama,26.2361363,50.5830517,BNMANAMA
37,111,San Jose,37.33094269973713,-121.88817862628899,CSSANJOS
38,25,Tunis,36.8027781,10.1796781,TSTUNIS
39,100,Abu Dhabi,24.4666836,54.3665934,ERABUDBI
40,28,Lusaka,-15.4146984,28.2813817,ZBLUSAKA
41,118,Tegucigalpa,14.1039908,-87.2194752,HOTEGUCI
42,116,Georgetown,6.8019737,-58.1670286,GYGRGTWN
43,27,Kampala,0.3186048,32.5813777,UGKAMPAL
44,122,Paramaribo,5.8350301,-55.1670309,SMPRMRIB
45,20,Niamey,13.5186518,2.1147102,NRNIAMEY
46,119,Managua,12.1549624,-86.2704375,NKMANAGU
47,22,Freetown,8.4719573,-13.2361616,SLFRETWN
